P40541	Q12158
P53633	P53633
P38089	Q03785
P33411	Q02775
P40562	Q08204
P30771	P38861
P39715	Q04175
P53890	Q12263
P34162	P38304
P12866	P40318
P38753	P40343
P35189	Q12297
P46985	P50108
P25649	Q12433
P02309	P39984
P40561	Q01560
P04051	P36037
P43605	Q04264
P47058	Q9URQ3
P14126	Q04225
P53271	P53959
P39946	Q06568
P15731	P39940
P32911	Q05775
P52488	Q06624
P0CX61	Q99303
P09119	P32833
P53040	Q05027
P30822	P39523
P06774	P13434
P39110	P46670
P25847	P41800
Q07084	Q07688
P07273	P46970
P32797	Q07921
P06103	P38249
P22204	P27636
P33892	P43535
P25294	P32590
P06839	P38077
P40352	Q04894
P43619	P43619
P11076	P32074
P47090	Q99380
P40054	P40510
P40465	Q12318
P20436	P32910
P39904	P47061
P15367	P46965
P20459	P32501
O13297	Q01159
P28496	P38703
Q03406	Q08032
P20449	Q12315
P12887	P15873
P01119	Q06891
P33754	P39742
P23644	P39515
P25615	Q08387
P47045	Q08749
P07260	P12962
P53082	Q03835
P46948	Q08491
P29366	P32944
P0CX29	P40070
P81449	P81449
Q12389	Q12522
P20053	Q03338
P20134	P25046
P00854	P09457
P25588	P53840
P46676	Q12192
P10591	P53083
P05030	P32903
Q02336	Q03330
Q3E829	Q3E835
P21243	P43588
P38265	P38907
P22141	P38348
P36161	P46673
P33328	P40357
P06780	P38889
P25367	P25367
P31244	P35187
P53290	Q00582
P33418	P50278
P39969	P48562
P32939	P39958
P31688	P38426
P16658	Q02825
P38828	P53297
P38247	P38247
P39704	Q05359
P36095	P36095
P50105	Q03761
P39718	Q07418
P39979	P39979
P14284	P47110
P32570	P41896
P38337	P38827
P25045	Q3E790
Q06549	Q06549
P19812	P32565
P40957	P40958
P53258	Q99260
P22007	P29703
P20438	Q03373
P06243	P32325
P00420	P39952
P38826	P54790
P06778	P26754
P32491	Q06160
P40963	Q04003
P32897	Q02776
P36027	P51862
P38989	P53632
P30656	P38624
P43569	P43569
P06700	Q00684
Q04461	Q04461
P36520	P38064
P17442	P20052
Q02554	Q99181
P11972	Q03697
P16649	Q02100
Q12223	Q12449
P39009	Q12021
P00830	P32453
P53295	Q03768
P0CE41	P25567
P09798	P14724
P38217	Q99383
P22224	Q06245
P29295	P38333
P32600	P40061
P46944	Q03630
Q08278	Q12343
P40438	P47093
Q03096	Q06163
P32381	P39013
P42843	Q02196
P40582	P40582
P22804	P43621
Q12084	Q12084
P34223	P38319
P15108	P15442
Q02939	Q3E7C1
P41895	Q03254
P25655	P39008
P14904	P14904
P39929	P53272
P14682	P14682
P38112	Q08208
P10507	P11914
P40892	P40892
P21827	P40517
P41546	P41546
P39007	P46964
P28707	P53691
P40567	Q08963
P21951	P24482
P26448	P47113
P24869	P25302
P00890	P17505
P38764	P48510
P38182	Q12241
P54861	P54861
P07834	Q08446
P07347	P12945
P35734	P36162
P32893	Q03660
P17123	Q05583
P31383	Q12461
P49686	Q04839
P06786	P25644
P48581	P48581
P32854	Q04359
P16151	P40009
P38822	Q12342
P23201	P40091
P25569	P38191
P40032	P53168
P47115	P47115
P25336	Q03834
P22219	P22543
Q05029	Q12114
P53939	Q99299
P38853	P50090
Q07381	Q08444
P04807	P04807
P38838	Q03898
P17891	Q06677
P32559	P53070
P38821	P38821
P40056	P53192
P48363	P53900
P35206	P38287
P09032	P09064
P12612	P39076
P53742	Q12420
P38959	Q07468
P53853	Q04199
P22216	P53551
P38293	Q05778
P32864	Q00618
P32588	P39935
P32641	Q12175
P33420	P38696
P38850	Q12098
P26449	P47074
Q07540	Q07540
P27801	P53129
P19263	P32259
P53238	Q07622
P32389	Q03081
P34730	P53043
P53254	Q06078
P05750	P32497
P38334	Q99394
P32366	P38784
P07278	P38163
P11747	Q04226
Q12060	Q12060
P32563	P41807
P19358	Q12004
P38123	Q03323
P36084	Q12186
P14741	P14741
P27705	P52918
P35210	P35210
Q08601	Q08601
P53755	Q07887
Q04062	Q06708
P32334	P53858
P35181	Q12028
P32504	Q02732
P04387	Q04511
P14736	P18888
P41543	Q92316
P47017	P47017
Q08231	Q6WNK7
P33332	P89102
P32340	P32340
P07149	P19097
P41277	Q08956
P38272	P53141
P05986	Q03407
P32629	P39107
P33334	Q00916
P13365	P21268
P23059	Q03503
P31384	P53280
P32499	Q02199
P38920	P39875
P32639	P38282
P39685	P52593
P36104	P43132
P42073	Q06102
P39113	P46954
P26309	P40316
P35180	P49334
P37303	P37303
P23615	Q06505
P39937	P40987
Q05900	Q07508
P38283	P53267
P30665	P32354
P04050	P20435
P27796	P50091
P50874	P54791
P38310	P43561
P50946	P53965
P29469	P47112
P07274	P52960
P39928	P39928
Q04673	Q04673
P23595	P38903
P19736	P32524
P12904	Q08732
P40204	Q12417
P33755	P53044
P04386	Q06630
P24280	P38797
P16370	P27999
P42946	P46961
P30902	P81450
P32481	P38431
P47027	Q04377
P32805	P50113
P53061	Q06032
P32867	P32867
P53738	Q03920
Q03088	Q06440
P22203	P47104
P48240	Q12277
P09959	P39678
P31374	Q08217
P00549	P21965
P35203	P40969
P21190	P21190
P43609	P43609
P33204	P40518
P39992	P54786
P38806	Q08649
P14747	P25296
P40348	P49956
P33891	P41834
P11433	Q05785
Q04368	Q12468
P40079	Q06631
P10081	P38719
P38779	Q04660
O94742	P46674
P25591	P43601
P25808	P40991
Q03654	Q04048
P35191	P35191
P28817	P32902
P34252	P40513
P38274	P38274
P14922	P53032
Q03774	Q12009
P15891	P40563
P32908	P47037
Q06137	Q06168
P13099	Q02685
P07213	P07213
P05319	P0CX53
P47160	Q99210
P53104	Q06410
P39998	P39998
P43579	Q12464
P53252	Q04279
P06783	P39010
P38781	Q06639
P13517	P28495
P38872	P40555
P22137	P38856
P38273	Q03308
P41912	Q06551
P13574	Q03063
P40016	Q06103
P04786	Q02208
Q06178	Q06178
P32899	P47083
P36010	P36010
P07270	P29055
P38276	P38276
P22579	P39001
P36130	P40515
P38147	P38147
P32849	P32849
P07269	P08153
P06787	Q04792
Q12335	Q12335
P02293	P06104
P36006	P39743
P46677	Q12030
P33301	P53150
P25301	P38953
P32861	P32861
P53159	Q12365
P24004	P33760
P28274	P38627
Q06479	Q12018
P53735	Q03455
P46655	P46672
P07256	P07257
P39727	Q04651
Q12033	Q12033
P03069	P47822
P39968	Q06628
P38146	P53093
P0CX41	Q06338
P10964	P20434
P47117	P53731
P00330	P00330
P28000	P43594
P15992	P15992
P38121	P40339
P53823	P53824
P06242	P37366
P23638	P38886
P38629	P38877
P38992	Q08980
P32802	P41544
P17106	Q06675
P0CY06	P53337
P32558	P32628
P35727	P48232
P32367	Q12415
P16861	P16862
P35728	Q06632
P53256	Q08162
P10862	P10862
P40484	P54199
P32318	P32318
P32496	Q08723
P25454	P32863
Q02574	Q08949
P33441	P53552
P18410	P38757
P53281	Q12446
P00724	P38353
P14164	P15790
P39706	Q03012
P53201	Q12432
P39944	Q05080
P10355	P10834
P80667	P80667
P43586	Q04149
P47035	Q02931
P23301	Q08004
P06775	P20606
P13711	P35056
P13902	P26798
P39534	P39534
P28006	P38229
P40362	Q05946
P53039	P53845
Q12059	Q99344
P42935	Q06706
P32457	Q04195
P53861	Q03071
P24583	P33767
P36036	Q99257
P25638	P38768
P15646	Q6Q547
P40480	P53096
P30619	P53604
P32523	P38302
P13712	Q12495
P29465	P34226
P33203	P53207
P32602	Q12255
P38328	Q05933
P17555	P46680
P08018	P23561
P38987	Q07993
P38996	P53617
P27472	P47011
P24276	P40164
P06779	P28519
P25357	P38262
P16522	Q12440
P25604	P27614
P38153	Q08951
P12683	Q08109
P32916	P36057
P12954	Q06148
P19659	P25648
P33298	P50086
P32500	Q03790
P41921	P41921
P12754	P32502
P06100	P06102
P40155	P53112
P32790	Q06604
P33338	P53933
P21957	P40075
P38691	Q12152
P32793	P40325
P33323	Q02721
P27692	P38439
P32786	P40992
P40151	P40151
P0CH09	P26188
P04147	P40565
P28795	Q08215
P14306	P34077
P53971	P53971
P15436	P46957
P10823	Q12361
P38316	Q03818
P32361	P32361
P32895	Q12265
P25343	P33200
P39540	Q03655
P53538	Q12102
P00729	P25385
Q02767	Q99176
P39011	Q04921
P16664	P40395
Q03433	Q12509
P38820	P53923
P28834	Q04437
P53163	P53163
P46956	P53045
P38792	P38801
P38080	P40494
